state,county,2000D,2000R,2000O,2004D,2004R,2004O,2008D,2008R,2008O,2012D,2012R,2012O,2016D,2016R,2016O
AL,Autauga,4942.0,11993.0,273.0,4758.0,15196.0,127.0,6093.0,17403.0,145.0,6363.0,17379.0,190.0,5936.0,18172.0,865.0
AL,Baldwin,13997.0,40872.0,1611.0,15599.0,52971.0,750.0,19386.0,61271.0,756.0,18424.0,66016.0,898.0,18458.0,72883.0,3874.0
AL,Barbour,5188.0,5096.0,111.0,4832.0,5899.0,46.0,5697.0,5866.0,67.0,5912.0,5550.0,47.0,4871.0,5454.0,144.0
AL,Bibb,2710.0,4273.0,118.0,2089.0,5472.0,39.0,2299.0,6262.0,83.0,2202.0,6132.0,86.0,1874.0,6738.0,207.0
AL,Blount,4977.0,12667.0,329.0,3938.0,17386.0,180.0,3522.0,20389.0,356.0,2970.0,20757.0,279.0,2156.0,22859.0,573.0
AL,Bullock,3395.0,1433.0,76.0,3210.0,1494.0,13.0,4011.0,1391.0,13.0,4061.0,1251.0,10.0,3530.0,1140.0,40.0
AL,Butler,3606.0,4127.0,70.0,3413.0,4979.0,24.0,4188.0,5485.0,36.0,4374.0,5087.0,35.0,3726.0,4901.0,105.0
AL,Calhoun,15781.0,22306.0,822.0,15083.0,29814.0,352.0,16334.0,32348.0,560.0,15511.0,30278.0,468.0,13242.0,32865.0,1757.0
AL,Chambers,5616.0,6037.0,181.0,5347.0,7622.0,63.0,6799.0,8067.0,90.0,6871.0,7626.0,114.0,5784.0,7843.0,273.0
AL,Cherokee,3497.0,4154.0,172.0,3040.0,5923.0,86.0,2306.0,7298.0,141.0,2132.0,7506.0,141.0,1547.0,8953.0,233.0
AL,Chilton,4806.0,10066.0,220.0,3778.0,12829.0,86.0,3674.0,13960.0,151.0,3397.0,13932.0,133.0,2911.0,15081.0,377.0
AL,Choctaw,3707.0,3600.0,67.0,3303.0,3897.0,27.0,3636.0,4223.0,35.0,3786.0,4152.0,30.0,3109.0,4106.0,77.0
AL,Clarke,4679.0,5988.0,85.0,4627.0,6730.0,37.0,5914.0,7466.0,55.0,6334.0,7470.0,47.0,5749.0,7140.0,142.0
AL,Clay,2045.0,3719.0,119.0,1893.0,4624.0,59.0,1760.0,4984.0,75.0,1777.0,4817.0,68.0,1237.0,5245.0,142.0
AL,Cleburne,1664.0,3333.0,95.0,1391.0,4370.0,37.0,1168.0,5216.0,108.0,971.0,5272.0,62.0,684.0,5764.0,145.0
AL,Coffee,5220.0,9938.0,276.0,4480.0,13019.0,117.0,5079.0,14919.0,130.0,4925.0,14666.0,179.0,4221.0,15875.0,671.0
AL,Colbert,10543.0,10518.0,471.0,10598.0,13188.0,149.0,9703.0,14739.0,401.0,9166.0,13936.0,283.0,7312.0,16746.0,857.0
AL,Conecuh,2783.0,2699.0,69.0,2719.0,3271.0,31.0,3429.0,3470.0,44.0,3555.0,3439.0,28.0,3080.0,3420.0,85.0
AL,Coosa,2104.0,2382.0,81.0,2055.0,2905.0,41.0,2273.0,3248.0,42.0,2191.0,3049.0,29.0,1782.0,3381.0,89.0
AL,Covington,4440.0,8961.0,212.0,3423.0,11119.0,85.0,3240.0,12444.0,103.0,3158.0,12153.0,112.0,2387.0,13267.0,286.0
AL,Crenshaw,1934.0,2793.0,68.0,1698.0,3777.0,25.0,1938.0,4319.0,34.0,2050.0,4331.0,37.0,1664.0,4513.0,90.0
AL,Cullman,9758.0,19157.0,610.0,8045.0,26818.0,328.0,5864.0,28896.0,545.0,5052.0,28999.0,406.0,3798.0,32989.0,1086.0
AL,Dale,4906.0,10593.0,307.0,4484.0,13621.0,126.0,5270.0,13886.0,164.0,5286.0,13108.0,163.0,4413.0,13808.0,528.0
AL,Dallas,10967.0,7360.0,137.0,11175.0,7335.0,63.0,13986.0,6798.0,68.0,14612.0,6288.0,53.0,12836.0,5789.0,167.0
AL,DeKalb,7056.0,12827.0,402.0,7092.0,16904.0,139.0,5658.0,17957.0,400.0,5239.0,18331.0,293.0,3622.0,21405.0,799.0
AL,Elmore,6652.0,16777.0,375.0,6471.0,22056.0,153.0,8301.0,25777.0,237.0,8954.0,26253.0,278.0,8443.0,27634.0,1183.0
AL,Escambia,4523.0,6975.0,162.0,3814.0,8513.0,68.0,5188.0,9375.0,111.0,5489.0,9287.0,93.0,4605.0,9935.0,305.0
AL,Etowah,17433.0,21087.0,828.0,15328.0,26999.0,353.0,13497.0,30595.0,645.0,12803.0,29130.0,597.0,10442.0,32353.0,1369.0
AL,Fayette,3064.0,4582.0,162.0,2408.0,5534.0,60.0,1994.0,5883.0,80.0,1817.0,6054.0,75.0,1362.0,6712.0,175.0
AL,Franklin,4793.0,6119.0,191.0,4514.0,7690.0,65.0,3469.0,8048.0,176.0,3171.0,7567.0,121.0,2197.0,9466.0,377.0
AL,Geneva,2769.0,6588.0,202.0,2113.0,8342.0,65.0,2134.0,9417.0,106.0,2039.0,9175.0,106.0,1525.0,9994.0,239.0
AL,Greene,3504.0,850.0,42.0,3764.0,958.0,26.0,4408.0,876.0,21.0,4521.0,804.0,15.0,4013.0,838.0,29.0
AL,Hale,4652.0,2984.0,95.0,4631.0,3281.0,33.0,4982.0,3200.0,32.0,5411.0,3210.0,22.0,4775.0,3173.0,92.0
AL,Henry,2782.0,4054.0,96.0,2452.0,4881.0,28.0,3018.0,5585.0,45.0,3083.0,5628.0,49.0,2292.0,5632.0,148.0
AL,Houston,9412.0,22150.0,495.0,9144.0,26874.0,183.0,12225.0,29254.0,256.0,12367.0,29270.0,281.0,10664.0,30728.0,1247.0
AL,Jackson,9066.0,8475.0,365.0,8635.0,11534.0,152.0,6374.0,14083.0,417.0,5822.0,14439.0,316.0,3673.0,16672.0,639.0
AL,Jefferson,129889.0,138491.0,5383.0,132286.0,158680.0,2001.0,166121.0,149921.0,2482.0,159876.0,141683.0,2359.0,156873.0,134768.0,12550.0
AL,Lamar,2653.0,4470.0,126.0,1956.0,4894.0,35.0,1614.0,5419.0,42.0,1646.0,5457.0,63.0,1036.0,5823.0,107.0
AL,Lauderdale,13875.0,17478.0,784.0,14628.0,22161.0,318.0,13329.0,24068.0,707.0,12511.0,23911.0,502.0,9952.0,27899.0,1674.0
AL,Lawrence,6296.0,5671.0,218.0,6155.0,7730.0,116.0,5164.0,9277.0,239.0,5069.0,8874.0,169.0,3627.0,10833.0,369.0
AL,Lee,14574.0,22433.0,1257.0,16227.0,27972.0,411.0,21498.0,32230.0,597.0,21381.0,32194.0,784.0,21230.0,34617.0,3344.0
AL,Limestone,8992.0,14204.0,438.0,9126.0,19702.0,245.0,9536.0,23598.0,417.0,9829.0,25295.0,335.0,9468.0,29067.0,1759.0
AL,Lowndes,4557.0,1638.0,48.0,4233.0,1786.0,2.0,5449.0,1809.0,20.0,5747.0,1756.0,18.0,4883.0,1751.0,50.0
AL,Macon,7665.0,1091.0,75.0,7800.0,1570.0,37.0,9450.0,1396.0,31.0,9045.0,1331.0,18.0,7566.0,1431.0,143.0
AL,Madison,48199.0,62151.0,2968.0,52644.0,77173.0,1245.0,64117.0,86965.0,1817.0,62015.0,90884.0,2160.0,62822.0,89520.0,11047.0
AL,Marengo,4841.0,4690.0,77.0,5037.0,5255.0,30.0,5926.0,5516.0,29.0,6167.0,5336.0,34.0,5615.0,5233.0,146.0
AL,Marion,4600.0,6910.0,246.0,3808.0,8983.0,84.0,2600.0,9536.0,219.0,2249.0,9697.0,159.0,1432.0,11274.0,278.0
AL,Marshall,10381.0,17084.0,524.0,8452.0,22783.0,256.0,7038.0,25727.0,401.0,6299.0,25867.0,400.0,4917.0,29233.0,1166.0
AL,Mobile,58640.0,78162.0,2943.0,63732.0,92014.0,1025.0,82181.0,98049.0,1194.0,78760.0,94893.0,1211.0,72186.0,95116.0,5435.0
AL,Monroe,3741.0,5153.0,57.0,3666.0,5831.0,37.0,5025.0,6175.0,52.0,4914.0,5741.0,53.0,4332.0,5795.0,144.0
AL,Montgomery,40371.0,38827.0,1130.0,45160.0,44097.0,393.0,62166.0,42031.0,546.0,63085.0,38332.0,507.0,58916.0,34003.0,2959.0
AL,Morgan,16060.0,25774.0,847.0,14131.0,32477.0,399.0,13895.0,36014.0,633.0,13439.0,35391.0,493.0,11254.0,37486.0,1904.0
AL,Perry,4020.0,1732.0,35.0,3767.0,1738.0,18.0,4457.0,1679.0,23.0,4568.0,1506.0,25.0,3824.0,1407.0,47.0
AL,Pickens,4143.0,4306.0,91.0,3915.0,5170.0,47.0,4594.0,5434.0,39.0,4455.0,5124.0,32.0,3972.0,5456.0,114.0
AL,Pike,4357.0,6058.0,129.0,4334.0,7483.0,66.0,5879.0,8004.0,72.0,6035.0,7963.0,109.0,5056.0,7693.0,419.0
