state,county,2008D,2012D,2016D,2020D,2008R,2012R,2016R,2020R,2008O,2012O,2016O,2020O
AL,Autauga,6298,6420,6004,5719,17505,18354,18368,19380,492,257,615,1070
AL,Baldwin,18634,18858,18829,18947,64696,71430,68989,75845,3072,1653,3777,4005
AL,Barbour,5802,6045,5247,4457,5859,5863,5667,5940,92,61,114,170
AL,Bibb,2583,2467,2098,1763,6618,6432,6592,7047,124,102,169,265
AL,Blount,3103,3202,2699,2705,20743,21670,22327,25086,413,263,453,640
AL,Bullock,4209,4190,3739,3325,1554,1476,1250,1306,23,12,29,50
AL,Butler,4414,4492,3949,3483,5586,5399,5140,4892,60,40,79,126
AL,Calhoun,15443,16086,14626,12863,32801,31277,32901,37111,1128,517,1270,1246
AL,Chambers,6746,6933,6159,5244,8191,8130,8002,8099,158,143,225,384
AL,Cherokee,1928,2245,1843,2407,7945,7805,8405,9598,166,158,206,295
AL,Chilton,3631,3641,3250,3205,14318,14931,15094,16318,231,180,297,509
AL,Choctaw,3905,4001,3404,2914,4525,4411,4204,4178,50,34,61,94
AL,Clarke,6172,6368,5849,5515,7617,7774,7337,7073,84,59,110,169
AL,Clay,1876,1988,1497,1344,5346,5128,5193,5518,97,79,120,176
AL,Cleburne,1207,1204,875,863,5624,5459,5576,5998,107,63,120,164
AL,Coffee,5160,5157,4588,3982,15103,15641,15880,17141,379,253,493,910
AL,Colbert,8442,9287,8347,8689,15199,15296,16380,19108,516,173,607,623
AL,Conecuh,3691,3680,3251,2898,3821,3698,3502,3502,57,34,68,101
AL,Coosa,2547,2456,2036,1638,3602,3295,3351,3560,58,37,71,110
AL,Covington,3181,3362,2787,2645,12692,12974,13220,14241,170,149,237,399
AL,Crenshaw,2298,2274,1843,1500,4675,4534,4471,4655,54,40,70,111
AL,Cullman,3996,4935,4582,6878,30381,30495,32158,37508,723,365,786,884
AL,Dale,5355,5455,4781,4078,13826,14191,14191,15097,308,226,390,683
AL,Dallas,13730,14704,13499,12210,6240,6509,6222,6932,103,74,133,206
AL,DeKalb,4351,5216,4458,5513,19021,19983,21000,24949,478,177,555,592
AL,Elmore,8575,8986,8466,8273,25544,26616,26776,28606,697,322,848,1282
AL,Escambia,5329,5484,4835,4197,9683,9820,9873,10425,182,136,243,416
AL,Etowah,11238,12689,11904,13724,31155,29936,31900,36943,922,605,928,1021
AL,Fayette,1857,1994,1621,1849,6423,6389,6506,7119,112,91,145,221
AL,Franklin,2713,3236,2702,3486,8657,8285,9087,10501,235,141,282,453
