State,D,R,O,T,D%,R%,O%
AL,754885,1413834,65390,2234109,33.78908549224769,63.284020609558446,2.926893898193866
AK,3900609,4016125,135693,8052427,48.44016592761412,49.874714790956816,1.685119281429065
AZ,1145429,1325681,113063,2584173,44.32478011340572,51.300009712972006,4.3752101736222775
AR,487051,721452,80148,1288651,37.79541551591548,55.98505724203062,6.2195272420539
CA,7520756,5318033,737519,13576308,55.396179874528485,39.17142274615455,5.432397379316969
CO,1333175,1323535,294033,2950743,45.180993397256216,44.85429601968047,9.964710583063315
CT,2495163,2402524,160831,5058518,49.32596859396369,47.49462194263221,3.1794094634041037
DC,285873,21115,41128,348116,82.12004044628802,6.065506899998851,11.81445265371313
DE,234704,320290,26460,581454,40.36501597718822,55.08432309348633,4.550660929325449
FL,4529332,4715413,395918,9640663,46.9815405849162,48.911708665679946,4.1067507494038535
GA,1788704,2221174,219004,4228882,42.29732586532327,52.52390584556391,5.17876828911282
HI,281769,391183,26632,699584,40.276650123501966,55.91651610099716,3.806833775500869
ID,183152,442552,82372,708076,25.866149961303584,62.500635525000135,11.63321451369627
IL,2820610,4349515,257367,7427492,37.975268098572165,58.55967263243097,3.465059268996856
IN,1023214,1993342,257014,3273570,31.256823590147757,60.89199253414468,7.851183875707561
IA,602739,1006935,118079,1727753,34.885715724411995,58.280031925859774,6.8342523497282315
KS,436361,766150,98386,1300897,33.54308603986326,58.89397853942319,7.562935420713554
KY,668826,1382285,118709,2169820,30.82403148648275,63.70505387543667,5.470914638080578
LA,1169937,1303574,84755,2558266,45.731640103101086,50.95537367889031,3.312986218008604
ME,1939477,2003771,107094,4050342,47.88427742644942,49.471649554531446,2.644073019019135
MD,1696106,1136229,205528,3037863,55.83220836489334,37.402246250077766,6.765545385028885
MA,2020316,1148248,159489,3328053,60.70564381035999,34.5020947683225,4.792261421317509
MI,2245563,3022657,168779,5436999,41.30151578104024,55.59421658896755,3.104267629992207
MN,1362031,1523473,221240,3106744,43.841108247090844,49.037609793404286,7.12128195950487
MS,462478,722048,48426,1232952,37.509813845145636,58.56253933648674,3.927646818367625
MO,1084404,1773412,190820,3048636,35.57013693992986,58.17067042441275,6.259192635657389
MT,176966,345560,31542,554068,31.93940093995683,62.36779601059798,5.692803049445194
NE,284187,638593,70204,992984,28.619494372517586,64.31050248543784,7.070003142044584
NV,548588,547263,53727,1149578,47.72081581241116,47.60555612581312,4.673628061775712
NH,349753,395425,48006,793184,44.09481280509945,49.852871464880785,6.052315730019768
NJ,2140231,1725908,321610,4187749,51.10695507299984,41.21326278150864,7.679782145491528
NM,384698,376939,192401,954038,40.32313178301074,39.5098518088378,20.167016408151458
NY,4304126,2976683,827347,8108156,53.083907117721964,36.712206819898384,10.203886062379658
NC,2134525,2497833,240623,4872981,43.80326949766478,51.258829041196755,4.937901461138469
ND,86770,303911,59097,449778,19.29173948036587,67.56911187296845,13.139148646665689
OH,2398391,3373946,210008,5982345,40.091151546759676,56.39838558291105,3.510462870329277
OK,481672,1052886,11220,1545778,31.160490057433858,68.11366185830047,0.7258480842656578
OR,1005037,1252363,199638,2457038,40.90441417674452,50.97043676166181,8.125149061593676
PA,2986215,3467114,237693,6691022,44.63017757227521,51.817405472587,3.552416955137795
RI,3959915,3900460,73856,7934231,49.90924766369923,49.15989968025887,0.9308526560419025
SC,840040,1210826,114011,2164877,38.80312830705856,55.93047549583648,5.266396197104963
SD,120027,294192,57219,471438,25.45976353200209,62.40311557405216,12.137120893945758
TN,963334,1628140,120618,2712092,35.51996023733708,60.03262426200882,4.447415500654108
TX,3654666,5231667,553747,9440080,38.71435411564309,55.41973161244397,5.86591427191295
UT,308119,1164618,119087,1591824,19.356348440531114,73.16248529988239,7.481166259586487
VT,174644,141217,53754,369615,47.25024687850872,38.20651218159436,14.54324093989692
VA,1556806,1659898,284583,3501287,44.4638214462282,47.40822446146231,8.127954092309485
WA,1782928,1485399,269013,3537340,50.40307123431731,41.99197702228228,7.604951743400408
WV,233093,612364,40721,886178,26.303180625111434,69.10169288788482,4.595126487003739
WI,1351861,2231980,144877,3728718,36.25538321750264,59.859179482063276,3.88543730043409
WY,50705,198169,24828,273702,18.525622757597677,72.40319763830736,9.071179604094965
Total,74749961,85477904,8773307,169001172,44.23043941967455,50.578290664161784,5.191269916163659
